;N1E1C1;N1E1C2;N1E1C3;N1E1C4;N1E2C1;N1E2C2;N1E2C3;N1E2C4;N1E3C1;N1E3C2;N1E3C3;N1E3C4;N1E4C1;N1E4C2;N1E4C3;N1E4C4
image;0;0.846886676186936;0.669148207353277;0.00312435407895739;0.00341281642451495;0;0;0;0.0730632901626283;0.822068909375827;0.379545838461353;0.540230775187795;0.629042279357377;0.878728051751659;0.716752864635684;0
image;0;0.558582706845643;0.0356154642840581;0.0529227715248349;0.0973994225038976;0;0.10011614154351;0;0.0842087358342134;0.531168991482533;0.209964975708959;0;0.321240664472777;0.257982120051086;0.47096048189581;0
image;0;0.767107696685162;0.425021510927551;0.140077350737249;0.000118685246725683;0;0;0;0.0781695246766824;0.82363858775889;0.454667182432231;0;0.48119594020299;0.908210106850546;0.670211525455351;0
image;0;0.522679375954127;0.28441089470247;0.0865389025389025;0.273364106116621;0.00965057844625687;0.137411322527602;0.154265203777716;0.162406448821295;0.457035200469775;0.354621313628464;0;0.216223803980319;0.406023516924557;0.264624487069377;0
image;0;0.640004560873407;0.390739236393176;0.0164929698141899;0.00275022786241239;0;0;0;0.0356500367749166;0.776500447894894;0.365950612326842;0;0.0802214191475936;0.793752657826574;0.345083135391924;0
image;0;0.430469294392099;0.315505391563014;0.00798303980599707;0.0894979746331098;0;0.0351114310479073;0.0990369510279353;0.0101930591885795;0.321853955171374;0.190885304799469;0.129096733565151;0.364499556801359;0.349170036902379;0.401768197701343;0
image;0;0.770623362161003;0.58312043272447;0.0835389878184632;0.407020045406722;0.0253482339158153;0.134522097593711;0.274487414569095;0.144578808050865;0.607151803607214;0.389868251185288;0.113211057273565;0.397497421282164;0.730636129113446;0.339538784580443;0
image;0;0.547068805300796;0.364309161444345;0.127296472934687;0.112459821444859;0;0.00421239815179209;0;0.00516140194057179;0.246188485043422;0.0966154134633415;0;0.155673368787581;0.431056650822099;0.295551540858272;0
image;0;0.435754189944134;0.396886637367061;0.0158149518371419;0.0114607938617495;0;0.00118973968495693;0;0.00731182124037222;0.630481896111426;0.492016223572689;0;0.666384073877829;0.671055793166419;0.21901524087051;0
image;0;0.629739188400967;0;0.032902693174465;0.0645788009854509;0;0.174127115634986;0;0.0640355095246902;0.876639112218322;0.332746574720987;0;0.325482048195111;0.791627861379344;0.566924028997466;0
image;0;0.698968830560113;0.211691978193146;0.0892421220713425;0.328375388931854;0;0.0737897655978152;0;0.0886996927115964;0.624680701136264;0.199215878461161;0.00612069330249482;0.441125159918255;0.710128282765005;0.567425803964942;0
image;0;0.437189877605028;0.337077960050475;0.0145350054318964;0.000365099470978318;0;0;0.00152751258462073;0.0736439938630005;0.719077696694671;0.315567983609735;0.375547500377586;0.0854553780254666;0.723289847545141;0.0403871166861401;0
image;0;0.0971409854475691;0.0993643690223956;0.000850176614070423;0.000625743069895501;0;0;0;0.00215981338529406;0.396140669789555;0.106351280111852;0;0.00535797634204879;0.108913108390564;0.00907374142139929;0
image;0;0.821340046176536;0.78935492205667;0.0560712829141942;0.190521419351696;0.278068612920332;0;0;0.112190197221551;0.858981369216017;0.783581170259569;0.17343822564983;0.751752834021362;0.845601043531804;0.796383545478998;0
image;0;0.627648723584594;0.417651354221986;0.0307887493663092;0.131568055895507;0;0.0342015051814492;0;0.1285437001785;0.619010320045073;0.415073160954099;0.209455566757886;0;0.811183750873341;0.58690149597587;0
image;0;0.312195458504739;0.226230856203104;0.011580415819285;0.00870619309313845;0.00075111728696436;0.0263028342358816;0.00819306895114344;0.0813356495534325;0.407780124515123;0.337936093551102;0.359844143937658;0.0925012573273658;0.411934254741785;0.314593106023478;0
image;0;0.822544516596149;0.26557831839522;0.0160316351893322;0.00765982299294667;0;0;0;0.120923982633899;0.850624614867515;0.5416249000774;0;0.742457422446911;0.844132044684323;0.681917723476647;0
image;0;0.072604593846589;0.255252748847843;0;0.0518847568176591;0.000132203342657148;0;0.0353816684259405;0.0281454400686324;0.385820639815594;0.0873956616165581;0.74764812675359;0.0316924640819793;0.345621835247623;0.398044513058021;0
image;0;0.770471827966694;0.63927300388492;0.0110991081522422;0.000227308665401645;0;0;0;0.130781624667488;0.854712104532619;0.520623160992013;0;0.813616346473229;0.903380094743346;0.72578555587273;0
